date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-06-22 00:00:00+00:00,127.61,128.06,127.08,127.49,34039345,28.8625738321,28.9643539295,28.7426994952,28.8354324728,136157380,0.0,1.0
2015-06-23 00:00:00+00:00,127.03,127.61,126.8792,127.48,30268863,28.7313905955,28.8625738321,28.697282954,28.8331706929,121075452,0.0,1.0
2015-06-24 00:00:00+00:00,128.11,129.8,127.12,127.21,55280855,28.9756628292,29.3579036393,28.751746615,28.7721026345,221123420,0.0,1.0
2015-06-25 00:00:00+00:00,127.5,129.2,127.5,128.86,31938100,28.8376942528,29.2221968428,28.8376942528,29.1452963248,127752400,0.0,1.0
2015-06-26 00:00:00+00:00,126.75,127.99,126.51,127.67,44066841,28.6680607572,28.9485214699,28.6137780386,28.8761445118,176267364,0.0,1.0
2015-06-29 00:00:00+00:00,124.53,126.47,124.48,125.46,49161427,28.1659456102,28.6047309188,28.1546367105,28.3762911447,196645708,0.0,1.0
2015-06-30 00:00:00+00:00,125.425,126.12,124.86,125.57,44370682,28.3683749149,28.5255686209,28.2405843482,28.4011707241,177482728,0.0,1.0
2015-07-01 00:00:00+00:00,126.6,126.94,125.99,126.9,30238811,28.634134058,28.7110345761,28.4961654816,28.7019874563,120955244,0.0,1.0
2015-07-02 00:00:00+00:00,126.44,126.69,125.77,126.43,27210952,28.597945579,28.6544900775,28.4464063229,28.595683799,108843808,0.0,1.0
2015-07-06 00:00:00+00:00,126.0,126.23,124.85,124.94,28060431,28.4984272616,28.5504482002,28.2383225683,28.2586785878,112241724,0.0,1.0
2015-07-07 00:00:00+00:00,125.69,126.15,123.77,125.89,46946811,28.4283120834,28.5323539607,27.9940503346,28.4735476822,187787244,0.0,1.0
2015-07-08 00:00:00+00:00,122.57,124.64,122.54,124.48,60761614,27.7226367417,28.1908251895,27.7158514018,28.1546367105,243046456,0.0,1.0
2015-07-09 00:00:00+00:00,120.07,124.06,119.22,123.85,78595038,27.1571917563,28.0596419529,26.9649404613,28.0121445742,314380152,0.0,1.0
2015-07-10 00:00:00+00:00,123.28,123.85,121.21,121.94,61354474,27.8832231175,28.0121445742,27.4150346696,27.5801446054,245417896,0.0,1.0
2015-07-13 00:00:00+00:00,125.66,125.755,124.32,125.03,41440538,28.4215267436,28.443013653,28.1184482314,28.2790346072,165762152,0.0,1.0
2015-07-14 00:00:00+00:00,125.61,126.37,125.04,126.04,31768139,28.4102178438,28.5821131194,28.2812963872,28.5074743813,127072556,0.0,1.0
2015-07-15 00:00:00+00:00,126.82,127.15,125.58,125.72,33649200,28.6838932168,28.7585319548,28.403432504,28.4350974232,134596800,0.0,1.0
2015-07-16 00:00:00+00:00,128.51,128.57,127.35,127.74,36222447,29.0661340268,29.0797047065,28.8037675536,28.8919769714,144889788,0.0,1.0
2015-07-17 00:00:00+00:00,129.62,129.62,128.31,129.08,46164710,29.3171916003,29.3171916003,29.020898428,29.1950554835,184658840,0.0,1.0
2015-07-20 00:00:00+00:00,132.07,132.97,130.7,130.97,58900203,29.871327686,30.0748878807,29.561463834,29.6225318924,235600812,0.0,1.0
2015-07-21 00:00:00+00:00,130.75,132.92,130.32,132.85,76756427,29.5727727337,30.063578981,29.4755161962,30.0477465214,307025708,0.0,1.0
2015-07-22 00:00:00+00:00,125.22,125.5,121.99,121.99,115450607,28.3220084261,28.3853382645,27.5914535051,27.5914535051,461802428,0.0,1.0
2015-07-23 00:00:00+00:00,125.16,127.09,125.06,126.2,50999452,28.3084377465,28.7449612752,28.2858199471,28.5436628604,203997808,0.0,1.0
2015-07-24 00:00:00+00:00,124.5,125.74,123.9,125.32,42162332,28.1591602704,28.4396209831,28.0234534739,28.3446262255,168649328,0.0,1.0
2015-07-27 00:00:00+00:00,122.77,123.61,122.12,123.09,44455540,27.7678723405,27.9578618556,27.6208566443,27.8402492986,177822160,0.0,1.0
2015-07-28 00:00:00+00:00,123.38,123.91,122.55,123.38,33618097,27.9058409169,28.0257152538,27.7181131818,27.9058409169,134472388,0.0,1.0
2015-07-29 00:00:00+00:00,122.99,123.5,122.27,123.15,37011653,27.8176314992,27.9329822762,27.6547833434,27.8538199783,148046612,0.0,1.0
2015-07-30 00:00:00+00:00,122.37,122.5699,121.71,122.32,33628268,27.6774011428,27.7226141239,27.5281236667,27.6660922431,134513072,0.0,1.0
2015-07-31 00:00:00+00:00,121.3,122.6425,120.91,122.6,42884953,27.4353906891,27.7390346462,27.3471812714,27.7294220815,171539812,0.0,1.0
2015-08-03 00:00:00+00:00,118.44,122.57,117.52,121.5,69975968,26.7885216259,27.7226367417,26.5804378713,27.4806262879,279903872,0.0,1.0
2015-08-04 00:00:00+00:00,114.64,117.7,113.25,117.42,124138623,25.9290452481,26.6211499102,25.6146578363,26.5578200718,496554492,0.0,1.0
2015-08-05 00:00:00+00:00,115.4,117.44,112.1,112.95,98384461,26.1009405237,26.5623436317,25.354553143,25.546804438,393537844,0.0,1.0
2015-08-06 00:00:00+00:00,115.13,116.5,114.115,115.97,52903040,26.1574850222,26.4687484156,25.9268774716,26.3483326503,211612160,0.52,1.0
2015-08-07 00:00:00+00:00,115.52,116.25,114.5,114.58,38670405,26.2460928495,26.4119485263,26.0143493012,26.0325252657,154681620,0.0,1.0
2015-08-10 00:00:00+00:00,119.72,119.99,116.53,116.53,54951597,27.2003309898,27.2616748703,26.4755644023,26.4755644023,219806388,0.0,1.0
2015-08-11 00:00:00+00:00,113.49,118.18,113.33,117.81,97082814,25.7848777484,26.8504436717,25.7485258192,26.7663798356,388331256,0.0,1.0
2015-08-12 00:00:00+00:00,115.24,115.42,109.63,112.53,101685610,26.1824769735,26.2233728938,24.9078874575,25.5667661735,406742440,0.0,1.0
2015-08-13 00:00:00+00:00,115.15,116.4,114.54,116.04,48535789,26.1620290134,26.4460284599,26.0234372835,26.3642366193,194143156,0.0,1.0
2015-08-14 00:00:00+00:00,115.96,116.31,114.01,114.32,42929516,26.3460606547,26.4255804997,25.9030215181,25.9734533809,171718064,0.0,1.0
2015-08-17 00:00:00+00:00,117.16,117.65,115.5,116.04,40884745,26.6187001234,26.7300279064,26.2415488584,26.3642366193,163538980,0.0,1.0
2015-08-18 00:00:00+00:00,116.5,117.44,116.01,116.43,34560708,26.4687484156,26.6823159994,26.3574206326,26.4528444466,138242832,0.0,1.0
2015-08-19 00:00:00+00:00,115.01,116.52,114.68,116.1,48286510,26.1302210754,26.4732924067,26.0552452215,26.3778685927,193146040,0.0,1.0
2015-08-20 00:00:00+00:00,112.65,114.35,111.63,114.08,68501622,25.5940301203,25.9802693676,25.362286572,25.9189254871,274006488,0.0,1.0
2015-08-21 00:00:00+00:00,105.76,111.9,105.645,110.43,128275471,24.0286251711,25.4236304524,24.002497222,25.0896471033,513101884,0.0,1.0
2015-08-24 00:00:00+00:00,103.12,108.8,92.0,94.87,162206292,23.4288183401,24.719311825,20.9023592638,21.554421993,648825168,0.0,1.0
2015-08-25 00:00:00+00:00,103.74,111.11,103.5,111.11,103601599,23.5696820655,25.2441428022,23.5151541718,25.2441428022,414406396,0.0,1.0
2015-08-26 00:00:00+00:00,109.69,109.89,105.05,107.085,96774611,24.921519431,24.9669593424,23.8673134855,24.3296645844,387098444,0.0,1.0
2015-08-27 00:00:00+00:00,112.92,113.24,110.02,112.25,84616056,25.6553740008,25.7280778591,24.9964952848,25.5031502974,338464224,0.0,1.0
2015-08-28 00:00:00+00:00,113.29,113.31,111.54,112.17,53164407,25.7394378369,25.7439818281,25.3418386118,25.4849743329,212657628,0.0,1.0
2015-08-31 00:00:00+00:00,112.76,114.53,112.0,112.13,56229271,25.6190220716,26.0211652879,25.4463504081,25.4758863506,224917084,0.0,1.0
2015-09-01 00:00:00+00:00,107.72,111.88,107.36,110.18,76845860,24.4739363033,25.4190864613,24.3921444627,25.032847214,307383440,0.0,1.0
2015-09-02 00:00:00+00:00,112.34,112.34,109.131,110.0,61888812,25.5235982576,25.5235982576,24.7945148785,24.9919512937,247555248,0.0,1.0
2015-09-03 00:00:00+00:00,110.37,112.78,110.04,112.49,53233940,25.0760151299,25.6235660628,25.001039276,25.5576781912,212935760,0.0,1.0
2015-09-04 00:00:00+00:00,109.27,110.45,108.51,108.97,49996311,24.8260956169,25.0941910944,24.6534239535,24.7579357498,199985244,0.0,1.0
2015-09-08 00:00:00+00:00,112.31,112.56,110.32,111.65,54843626,25.5167822709,25.5735821602,25.064655152,25.3668305631,219374504,0.0,1.0
2015-09-09 00:00:00+00:00,110.15,114.02,109.77,113.76,85010804,25.0260312273,25.9052935137,24.9396953955,25.8462216288,340043216,0.0,1.0
2015-09-10 00:00:00+00:00,112.57,113.2825,109.9,110.27,62892831,25.5758541557,25.7377338403,24.969231338,25.0532951741,251571324,0.0,1.0
2015-09-11 00:00:00+00:00,114.21,114.21,111.76,111.79,49915473,25.9484614296,25.9484614296,25.3918225144,25.3986385011,199661892,0.0,1.0
2015-09-14 00:00:00+00:00,115.31,116.89,114.86,116.58,58363431,26.1983809425,26.5573562429,26.0961411418,26.4869243802,233453724,0.0,1.0
